"nrkunna","gaedi","pref_stad","as_timi","staerd","greidslugeta" 
"614",2.411,"Gerdin","23",107,195083
"615",2.831,"Gardabaer","5",100,140617
"616",2.972,"LaugarneshverfiVogar","19",74,123805
"617",3.144,"LaugarneshverfiVogar","20",131,153335
"618",4.109,"Grafarvogur","9",306,490736
"619",2.094,"Grafarvogur","28",54,129182
"620",2.543,"Midbaer","12",106,214157
"621",3.538,"Seltjarnarnes","15",93,154134
"622",2.679,"Grafarvogur","27",71,144242
"623",2.676,"Hafnarfjordur","11",251,201733
"624",3.038,"Breidholt","14",72,199124
"625",3.55,"Vesturbaer","24",81,190616
"626",1.969,"Arbaer","10",111,227039
"627",1.946,"LaugarneshverfiVogar","6",156,210150
"628",2.646,"Grafarvogur","34",68,129810
"629",3.712,"Arbaer","6",91,120966
"630",3.796,"Haaleiti","34",100,124173
"631",2.548,"Gardabaer","10",129,135243
"632",3.219,"Midbaer","31",82,120099
"633",2.549,"Arbaer","14",50,157107
"634",3.877,"Mosfellsbaer","15",56,184088
"635",3.029,"Haaleiti","25",40,133353
"636",2.938,"Grafarholt","27",105,125278
"637",2.929,"Hafnarfjordur","21",48,153651
"638",2.665,"Seltjarnarnes","10",113,150287
"639",3.751,"Haaleiti","15",147,182218
"640",4.544,"Hlutlaus","21",81,128208
"641",2.939,"Haaleiti","23",125,153527
"642",2.956,"Hlidar","22",102,179256
"643",2.775,"Hafnarfjordur","18",151,121314
"644",3.673,"Hafnarfjordur","22",114,133371
"645",2.941,"Breidholt","10",78,186615
"646",2.41,"Gardabaer","19",125,171014
"647",4.776,"Mosfellsbaer","19",91,150619
"648",3.222,"Grafarvogur","31",109,131279
"649",3.485,"Breidholt","10",53,128944
"650",2.899,"LaugarneshverfiVogar","21",102,166322
"651",2.315,"Gardabaer","14",96,177669
"652",2.384,"Hlutlaus","23",68,171422
"653",2.684,"Gardabaer","12",66,145208
"654",2.153,"Gardabaer","21",100,188250
"655",2.804,"Midbaer","25",93,127567
"656",4.006,"Gerdin","17",110,182024
"657",2.15,"Kopavogur","21",91,149787
"658",3.029,"Hafnarfjordur","9",250,311806
"659",2.643,"Kopavogur","99",161,124332
"660",3.023,"Mosfellsbaer","10",97,122887
"661",3.302,"Gardabaer","18",75,125915
"662",2.17,"Arbaer","15",86,155120
"663",3.057,"Mosfellsbaer","17",128,160179
"664",3.815,"LaugarneshverfiVogar","14",147,184680
"665",3.332,"Hlidar","3",119,139905
"666",3.401,"Fossvogur","14",140,172027
"667",2.309,"Gerdin","7",73,111586
"668",2.951,"Breidholt","11",75,214724
"669",3.306,"Midbaer","10",74,212455
"670",2.316,"Vesturbaer","17",86,185270
"671",3.046,"Fossvogur","16",104,127250
"672",3.077,"Vesturbaer","8",97,145361
"673",2.772,"Haaleiti","24",103,137198
"674",2.401,"Breidholt","18",117,126212
"675",3.743,"Vesturbaer","24",111,135028
"676",3.042,"Gerdin","23",87,133051
"677",3.131,"Gerdin","4",101,122367
"678",2.372,"Mosfellsbaer","16",78,160846
"679",2.971,"Haaleiti","18",70,127222
"680",2.217,"Hlutlaus","22",106,131478
"681",2.637,"Hafnarfjordur","30",134,143758
"682",2.169,"Gardabaer","33",104,137264
"683",4.246,"Kopavogur","20",120,182270
"684",3.343,"LaugarneshverfiVogar","32",125,148111
"685",2.984,"Kopavogur","22",73,155028
"686",2.607,"Arbaer","15",106,199205
"687",2.272,"Haaleiti","21",183,141614
"688",3.089,"Hlidar","6",93,140097
"689",2.667,"Hlidar","34",136,140443
"690",3.016,"Midbaer","30",125,144472
"691",3.379,"Mosfellsbaer","99",32,141757
"692",2.686,"Hlidar","20",100,129208
"693",3.532,"Grafarvogur","22",125,158911
"694",3.391,"LaugarneshverfiVogar","22",108,129094
"695",3.485,"Breidholt","8",47,209524
"696",1.729,"Grafarholt","10",133,133072
"697",2.124,"Hafnarfjordur","15",102,192393
"698",3.949,"Gerdin","18",55,164993
"699",2.818,"Arbaer","15",111,185123
"700",3.204,"Seltjarnarnes","17",78,162954
"701",3.174,"Arbaer","10",100,129183
"702",2.656,"Midbaer","16",98,195533
"703",2.891,"Hafnarfjordur","19",82,145695
"704",3.239,"Haaleiti","15",92,129634
"705",2.721,"Breidholt","21",84,153234
"706",2.931,"Haaleiti","15",83,149161
"707",3.199,"LaugarneshverfiVogar","3",130,143859
"708",3.46,"Mosfellsbaer","32",102,124642
"709",3.118,"Gardabaer","24",82,138771
"710",4.166,"LaugarneshverfiVogar","4",150,245135
"711",2.686,"Seltjarnarnes","19",92,134279
"712",3.229,"Grafarvogur","99",74,128641
"713",3.137,"LaugarneshverfiVogar","23",138,172617
"714",2.423,"Midbaer","10",77,149161
"715",1.949,"Arbaer","99",102,124100
"716",2.301,"Arbaer","99",165,133120
"717",3.076,"Grafarholt","27",54,146363
"718",2.801,"Midbaer","14",109,121825
"719",3.248,"Grafarvogur","34",111,135221
"720",3.024,"Seltjarnarnes","30",95,148882
"721",2.398,"Kopavogur","31",114,131052
"722",4.215,"Hlutlaus","33",62,134568
"723",3.793,"Midbaer","8",54,231988
"724",2.581,"Hlidar","24",92,146787
"725",2.496,"Haaleiti","23",213,167795
"726",3.689,"Grafarvogur","14",93,141595
"727",2.805,"Hlutlaus","24",104,188025
"728",2.202,"LaugarneshverfiVogar","23",171,137662
"729",2.299,"Gerdin","16",36,77862
"730",2.946,"Hlutlaus","7",120,124178
"731",2.313,"Hafnarfjordur","3",93,147441
"732",3.391,"Midbaer","34",82,121735
"733",2.959,"Fossvogur","16",116,145516
"734",2.684,"Midbaer","16",83,128513
"735",3.682,"Fossvogur","25",58,188419
"736",3.135,"Breidholt","5",93,241249
"737",3.114,"Hafnarfjordur","20",102,141813
"738",2.398,"Grafarvogur","5",133,223391
"739",1.737,"LaugarneshverfiVogar","33",172,127446
"740",2.943,"Hlutlaus","21",93,159779
"741",2.691,"Grafarholt","99",128,148491
"742",2.127,"Hlutlaus","26",75,141765
"743",2.614,"Mosfellsbaer","6",116,201713
"744",2.95,"Midbaer","9",97,134354
"745",3.063,"Arbaer","29",102,129130
"746",2.636,"Hlutlaus","8",93,131791
"747",2.826,"Arbaer","25",96,167892
"748",2.923,"Vesturbaer","23",84,152775
"749",3.375,"Grafarholt","23",136,162098
"750",2.583,"Midbaer","4",151,123868
"751",2.835,"Haaleiti","20",77,156147
"752",4.198,"Hlutlaus","16",101,165594
"753",3.964,"Gardabaer","20",102,126593
"754",2.989,"Kopavogur","13",125,129860
"755",2.911,"Breidholt","7",103,206990
"756",3.031,"Gardabaer","21",92,172758
"757",3.769,"Haaleiti","20",50,170688
"758",2.46,"Gardabaer","18",215,183737
"759",3.075,"Vesturbaer","35",104,129706
"760",2.513,"Breidholt","26",100,135910
"761",3.39,"Gardabaer","6",124,144715
"762",2.842,"Vesturbaer","11",72,203168
"763",2.251,"Breidholt","19",94,151944
"764",2.848,"Breidholt","9",103,132393
"765",2.094,"Gardabaer","5",59,138326
"766",2.809,"Hlidar","21",94,131067
"767",3.07,"Hafnarfjordur","14",139,160665
"768",2.72,"Gerdin","14",106,120205
"769",2.206,"LaugarneshverfiVogar","4",53,145881
"770",3.727,"Hlidar","15",165,192784
"771",3.355,"Seltjarnarnes","7",73,121082
"772",2.926,"Hafnarfjordur","29",112,146632
"773",2.036,"Arbaer","15",220,184048
"774",2.22,"Gerdin","6",112,204812
"775",3.484,"LaugarneshverfiVogar","12",116,147467
"776",3.225,"Midbaer","19",57,171398
"777",3.088,"LaugarneshverfiVogar","11",92,130681
"778",3.002,"Hlutlaus","6",106,126844
"779",2.632,"Grafarvogur","28",53,128269
"780",3.193,"Gerdin","18",105,130517
"781",3.147,"Breidholt","14",135,159360
"782",2.754,"Hlutlaus","17",83,141713
"783",2.327,"Midbaer","35",120,132819
"784",1.7,"Grafarholt","15",107,166564
"785",3.464,"Hafnarfjordur","18",157,185643
"786",4.45,"Hlidar","20",100,157167
"787",3.478,"Arbaer","9",69,123018
"788",2.804,"Gardabaer","7",59,200654
"789",3.521,"Grafarholt","99",87,132188
"790",3.224,"Vesturbaer","99",88,131562
"791",2.765,"Grafarvogur","13",148,156452
"792",3.605,"Vesturbaer","17",108,129595
"793",3.14,"Grafarholt","19",127,154734
"794",3.352,"Kopavogur","7",74,213968
"795",3.159,"Hafnarfjordur","11",64,227355
"796",4.392,"Gerdin","28",88,139052
"797",2.99,"LaugarneshverfiVogar","31",138,125782
"798",2.655,"Gardabaer","6",66,121443
"799",3.797,"Gardabaer","18",97,153121
"800",2.175,"Vesturbaer","33",84,122576
"801",2.322,"Kopavogur","11",113,168848
"802",2.943,"Hlidar","26",78,137830
"803",3.037,"Kopavogur","20",122,155508
"804",2.929,"Vesturbaer","25",86,151185
"805",2.229,"Mosfellsbaer","19",189,152963
"806",2.871,"Kopavogur","4",123,129102
"807",4.001,"Gardabaer","25",43,132144
"808",3.029,"Fossvogur","4",243,275500
"809",2.807,"Hafnarfjordur","24",86,126378
"810",2.495,"Grafarholt","11",252,203920
"811",2.522,"Grafarvogur","25",62,124417
"812",2.85,"Gerdin","99",86,137579
"813",3.643,"Midbaer","17",82,120483
"814",3.159,"LaugarneshverfiVogar","18",101,125902
"815",2.744,"Midbaer","20",186,161433
"816",2.182,"Gerdin","9",83,148453
"817",3.276,"Gerdin","5",95,122358
"818",2.861,"Hlutlaus","12",136,129514
"819",3.433,"LaugarneshverfiVogar","14",87,173031
"820",4.083,"Hlutlaus","14",93,154260
"821",1.633,"Midbaer","7",66,106247
"822",1.629,"Midbaer","14",117,162071
"823",3.807,"Grafarvogur","9",83,133535
"824",2.717,"Hafnarfjordur","28",185,146441
"825",2.856,"Fossvogur","10",47,208177
"826",2.552,"Arbaer","27",170,136210
"827",3.18,"Grafarholt","13",124,139953
"828",3.395,"Breidholt","22",77,139006
"829",3.348,"Haaleiti","11",74,191455
"830",2.766,"Vesturbaer","23",80,172345
"831",3.777,"Vesturbaer","99",122,144674
"832",2.094,"Grafarholt","26",50,87530
"833",2.609,"Hlutlaus","11",102,201611
"834",2.865,"Grafarholt","17",222,175530
"835",3.417,"Mosfellsbaer","12",149,180190
"836",3.91,"LaugarneshverfiVogar","9",122,147331
"837",2.918,"Breidholt","18",72,159817
"838",3.304,"Hafnarfjordur","8",114,128201
"839",3.591,"Midbaer","19",149,181270
"840",2.952,"Grafarvogur","4",192,142044
"841",3.353,"Gerdin","11",227,266736
"842",3.295,"Grafarvogur","26",54,147158
"843",2.391,"Midbaer","28",84,132664
"844",2.02,"LaugarneshverfiVogar","35",149,120781
"845",2.228,"Breidholt","21",102,188909
"846",2.38,"Hlutlaus","19",84,179070
"847",1.905,"Hafnarfjordur","19",74,106751
"848",2.865,"Kopavogur","14",102,175781
"849",3.379,"Hlidar","19",96,152072
"850",4.206,"Hlutlaus","31",51,132172
"851",2.157,"Hafnarfjordur","99",120,122517
"852",2.491,"Hlidar","19",152,123540
"853",3.602,"Mosfellsbaer","11",265,316053
"854",3.946,"Gardabaer","8",166,206310
"855",2.288,"Arbaer","27",65,127021
"856",3.521,"Breidholt","99",46,129630
"857",2.158,"Grafarvogur","20",117,194112
"858",3.388,"Gardabaer","8",102,129086
"859",2.522,"Hlutlaus","29",81,148076
"860",1.842,"Hlidar","17",86,165909
"861",3.284,"Arbaer","9",180,231333
"862",2.548,"Grafarholt","15",86,125388
"863",2.322,"Mosfellsbaer","16",61,191678
"864",2.538,"Fossvogur","35",130,130092
"865",3.214,"Hlidar","17",81,191362
"866",3.631,"Haaleiti","24",75,123972
"867",3.872,"Vesturbaer","9",125,146965
"868",2.741,"Fossvogur","14",94,168014
"869",3.319,"Grafarvogur","21",62,150443
"870",3.021,"Arbaer","17",78,158879
"871",3.249,"LaugarneshverfiVogar","24",76,194849
"872",2.882,"Grafarvogur","22",53,180046
"873",3.163,"Gardabaer","26",114,135264
"874",3.143,"Gardabaer","24",78,185829
"875",3.491,"Hlutlaus","22",82,134655
"876",1.968,"Hafnarfjordur","14",90,189405
"877",3.414,"Grafarholt","18",130,151456
"878",3.927,"Mosfellsbaer","19",156,193358
"879",2.154,"Grafarvogur","16",117,141122
"880",3.778,"Mosfellsbaer","22",95,125234
"881",2.35,"Kopavogur","26",61,120720
"882",2.592,"Fossvogur","11",263,205049
"883",1.712,"Mosfellsbaer","13",154,125155
"884",2.627,"LaugarneshverfiVogar","18",68,156540
"885",2.898,"Kopavogur","9",239,200095
"886",3.981,"Midbaer","12",82,218255
"887",2.999,"Seltjarnarnes","8",108,204244
"888",2.448,"Vesturbaer","20",77,130542
"889",1.374,"LaugarneshverfiVogar","14",83,156036
"890",3.009,"Gerdin","11",56,143999
"891",2.529,"Hlidar","22",107,150001
"892",2.253,"Arbaer","15",141,154448
"893",3.398,"Mosfellsbaer","7",96,136163
"894",2.661,"Midbaer","10",101,210905
"895",2.229,"Breidholt","99",109,130556
"896",3.528,"Fossvogur","21",158,188133
"897",2.791,"Fossvogur","13",88,127879
"898",3.98,"Fossvogur","7",119,147356
"899",3.359,"Haaleiti","33",101,120520
"900",3.267,"Breidholt","12",147,174965
"901",3.256,"Mosfellsbaer","19",94,155335
"902",4.031,"Gardabaer","21",55,121747
"903",2.419,"LaugarneshverfiVogar","19",179,154076
"904",3.378,"Haaleiti","22",153,186168
"905",3.262,"Breidholt","14",61,156780
"906",3.285,"Breidholt","14",39,175560
"907",3.156,"Hlidar","19",81,153046
"908",2.862,"Hafnarfjordur","11",65,145335
"909",3.516,"Kopavogur","17",158,178191
"910",2.809,"LaugarneshverfiVogar","24",110,135420
"911",2.353,"Kopavogur","22",97,158530
"912",3.219,"Grafarholt","23",102,122609
"913",2.314,"LaugarneshverfiVogar","29",117,126222
"914",2.82,"Haaleiti","16",165,128297
"915",2.617,"Hlidar","19",65,192404
"916",3.22,"Seltjarnarnes","19",106,130063
"917",2.01,"Grafarholt","22",77,156514
"918",3.18,"Gardabaer","6",272,333373
"919",3.003,"Mosfellsbaer","22",101,122545
"920",2.602,"Kopavogur","32",117,125245
"921",2.872,"Gerdin","28",52,82767
"922",2.826,"Hlutlaus","22",93,121192
"923",3.734,"Seltjarnarnes","12",181,228596
"924",2.365,"Grafarvogur","24",73,196506
"925",2.99,"Breidholt","10",106,237779
"926",3.011,"Grafarvogur","12",205,242834
"927",2.765,"Seltjarnarnes","14",234,199985
"928",3.298,"LaugarneshverfiVogar","30",76,142755
"929",3.772,"Hlutlaus","21",88,141999
"930",3.239,"Vesturbaer","18",66,133794
"931",2.738,"Hlutlaus","21",84,140473
"932",2.59,"Haaleiti","25",90,164197
"933",2.515,"Arbaer","8",64,143778
"934",2.566,"Hlidar","12",64,225538
"935",2.946,"Haaleiti","99",142,141329
"936",2.851,"Mosfellsbaer","99",45,134196
"937",2.023,"Arbaer","9",156,129550
"938",2.851,"Breidholt","25",155,123140
"939",3.055,"Hlidar","3",87,139080
"940",2.805,"Seltjarnarnes","17",79,154639
"941",2.595,"Kopavogur","31",119,127611
"942",3.268,"Arbaer","11",214,250608
"943",3.329,"Grafarvogur","25",119,143619
"944",2.76,"Hlutlaus","14",100,153572
"945",3.171,"Hafnarfjordur","20",76,188656
"946",3.147,"LaugarneshverfiVogar","17",113,128334
"947",4.179,"Hafnarfjordur","99",89,143822
"948",2.937,"Breidholt","8",302,233276
"949",3.442,"LaugarneshverfiVogar","8",73,149301
"950",3.848,"Hafnarfjordur","14",74,161927
"951",2.818,"Kopavogur","16",184,150280
"952",2.702,"Vesturbaer","7",85,220557
"953",2.567,"Arbaer","12",50,120090
"954",2.942,"Grafarholt","22",149,137635
"955",2.557,"LaugarneshverfiVogar","10",302,256760
"956",2.905,"Grafarholt","11",113,141512
"957",2.9,"Mosfellsbaer","17",78,174981
"958",2.854,"Hafnarfjordur","10",81,147081
"959",2.669,"Arbaer","10",92,142766
"960",3.487,"Hlutlaus","15",133,157261
"961",4.027,"Midbaer","5",185,286382
"962",3.753,"Haaleiti","6",68,209622
"963",3.067,"Grafarvogur","19",167,189878
"964",2.804,"Breidholt","4",86,124836
"965",3.127,"Grafarvogur","20",78,181826
"966",2.944,"Gerdin","25",93,129123
"967",2.679,"Hlidar","20",90,163473
"968",2.744,"Hlidar","15",78,167747
"969",2.892,"Arbaer","5",284,226907
"970",2.389,"Grafarholt","18",71,159062
"971",3.138,"Midbaer","99",84,138166
"972",2.589,"Hlutlaus","19",74,136880
"973",2.083,"Breidholt","11",66,155582
"974",3.067,"Seltjarnarnes","25",160,197303
"975",2.249,"Gerdin","17",102,143795
"976",2.811,"Grafarvogur","17",96,150465
"977",2.823,"Arbaer","19",128,133003
"978",3.405,"Gardabaer","18",80,141428
"979",2.626,"Gardabaer","12",142,211681
"980",3.667,"Gerdin","12",116,135423
"981",3.645,"Gardabaer","6",68,135765
"982",3.3,"Haaleiti","20",150,186714
"983",2.797,"Vesturbaer","3",146,124973
"984",2.841,"Gardabaer","12",89,134954
"985",3.213,"LaugarneshverfiVogar","7",174,203223
"986",3.242,"Haaleiti","20",48,157337
"987",3.087,"LaugarneshverfiVogar","13",107,125713
"988",3.359,"Arbaer","11",91,144920
"989",2.742,"Arbaer","22",144,122464
"990",3.455,"Breidholt","24",109,134663
"991",2.973,"Gerdin","18",76,162497
"992",3.143,"Vesturbaer","19",126,149970
"993",3.393,"Gardabaer","19",60,159465
"994",2.227,"Grafarholt","10",71,125838
"995",1.913,"Haaleiti","31",83,80079
"996",3.952,"Kopavogur","24",104,124770
"997",3.904,"Seltjarnarnes","9",82,214339
"998",3.575,"LaugarneshverfiVogar","17",75,128628
"999",3.606,"Gardabaer","33",98,131932
"1000",2.934,"Vesturbaer","99",130,122540
